Taxon	GTDB taxonomy	BBF7405	BBF7406	BBF7407	BBF7408	BBF7409	BBF7410
s__Staphylococcus lugdunensis	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	0.000000	0.000000	0.000000	3.069867	0.068765	1.864103
s__Streptococcus agalactiae	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.000000	0.000000	14.174265	0.000000	0.000000	0.000000
s__Streptococcus anginosus	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.012120	0.000000	0.000000	0.000000	0.000000	0.000000
s__Streptococcus infantis_H	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.000000	0.000000	0.000000	0.278989	0.000000	0.000000
s__Streptococcus infantis_I	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.000000	0.000000	0.000000	0.711910	0.000000	0.000000
s__Streptococcus oralis	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.000000	0.000000	0.000000	0.102012	0.000000	0.000000
s__Streptococcus parasanguinis_B	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.000000	0.000000	0.000000	6.506750	0.000000	0.246543
s__Streptococcus salivarius	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.355944	0.000000	0.000000	0.550116	0.000000	0.000000
s__Streptococcus sp001556435	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	1.002831	0.000000	0.000000	0.000000	0.000000	0.040094
s__Streptococcus vestibularis	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.154286	0.000000	0.000000	0.000000	0.000000	0.000000
s__Sutterella wadsworthensis_A	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Sutterella	0.000000	0.000000	0.000000	0.000000	5.105330	0.000000
s__Varibaculum cambriense	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum	0.702735	0.000000	0.000000	0.000000	0.000000	0.000000
s__Veillonella atypica	d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella	0.447152	0.000000	0.981749	0.000000	0.000000	0.000000
s__Veillonella dispar_A	d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella	0.111409	0.000000	0.000000	0.000000	0.000000	0.000000
s__Veillonella parvula	d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella	0.000000	0.000000	1.623950	0.000000	0.000000	0.000000
s__Veillonella parvula_A	d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella	5.423293	0.079671	13.353344	0.000000	0.000000	0.000000
s__Veillonella rogosae	d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella	0.000000	0.000000	0.074240	0.000000	0.000000	0.000000
